Item,Total Fat (g),Cholesterol (% Daily Value),Sodium
Egg McMuffin,13,87,750
Sausage McMuffin with Egg,28,95,860
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",26,83,1300
