Category,Item,Calories / Serving Size,Calories From Fat / Serving Size,Total Fat (g),Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars / Serving (g),Protein / Serving Size,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Beverages,Frappé Caramel (Small),37.5,14.16666667,19,29,12,60,1,65,22,125,5,64,21,0,0,4.75,0.6,15,0,25,2
Beverages,Frappé Caramel (Medium),34.375,12.5,23,35,15,73,1,80,27,160,7,79,26,0,0,4.4375,0.6,20,0,30,2
Beverages,Frappé Caramel (Large),30.45454545,11.36363636,27,42,17,87,1.5,95,32,190,8,96,32,0,0,4,0.5,20,0,35,2
Beverages,Frappé Chocolate Chip (Small),44.16666667,16.66666667,23,35,14,72,1,65,22,135,6,76,25,1,5,5.583333333,0.7,15,0,25,4
Beverages,Frappé Chocolate Chip (Medium),39.375,15,26,41,17,85,1,80,26,160,7,91,30,1,5,5.0625,0.6,15,0,30,4
Beverages,Frappé Chocolate Chip (Large),34.54545455,12.72727273,31,48,20,101,1.5,95,32,200,8,111,37,1,5,4.5,0.5,20,0,35,6
Beverages,Blueberry Pomegranate Smoothie (Small),18.33333333,0.416666667,0.5,1,0,0,0,5,1,40,2,50,17,3,12,3.666666667,0.2,0,2,6,2
Beverages,Blueberry Pomegranate Smoothie (Medium),16.25,0.3125,1,1,0,0,0,5,1,50,2,62,21,4,15,3.375,0.2,0,4,8,2
Beverages,Blueberry Pomegranate Smoothie (Large),15.45454545,0.454545455,1,2,0.5,3,0,5,2,65,3,79,26,5,19,3.181818182,0.2,0,4,10,2
Beverages,Strawberry Banana Smoothie (Small),17.5,0.416666667,0.5,1,0,0,0,5,1,50,2,47,16,3,10,3.666666667,0.3,0,30,8,2
Beverages,Strawberry Banana Smoothie (Medium),15.625,0.3125,1,1,0,0,0,5,1,60,2,58,19,3,13,3.375,0.3,0,35,8,4
Beverages,Strawberry Banana Smoothie (Large),15,0.454545455,1,2,0.5,3,0,5,2,80,3,74,25,4,16,3.181818182,0.2,0,45,10,4
Beverages,Mango Pineapple Smoothie (Small),17.5,0.416666667,0.5,1,0,0,0,5,1,40,2,50,17,1,4,3.833333333,0.2,30,20,8,2
Beverages,Mango Pineapple Smoothie (Medium),16.25,0.625,1,1,0,0,0,5,1,45,2,61,20,1,5,3.5,0.2,40,25,8,2
Beverages,Mango Pineapple Smoothie (Large),15.45454545,0.454545455,1,2,0.5,3,0,5,2,60,3,78,26,2,6,3.272727273,0.2,50,30,10,2
Beverages,Vanilla Shake (Small),44.16666667,11.66666667,15,24,10,49,1,60,20,160,7,86,29,0,0,5.25,0.9,20,0,40,0
Beverages,Vanilla Shake (Medium),41.25,10.625,19,29,12,61,1,75,24,200,9,109,36,0,0,5.0625,0.9,25,0,50,0
Beverages,Vanilla Shake (Large),37.27272727,9.545454545,23,35,15,73,1,90,29,260,11,135,45,0,0,4.590909091,0.8,30,0,60,0
Beverages,Strawberry Shake (Small),45.83333333,12.5,16,25,10,52,1,60,21,160,7,90,30,0,0,6.583333333,1,20,0,40,0
Beverages,Strawberry Shake (Medium),43.125,11.25,20,30,13,63,1,75,25,210,9,114,38,0,0,6.25,0.9,25,0,50,0
Beverages,Strawberry Shake (Large),38.63636364,9.545454545,24,36,15,75,1,90,30,260,11,140,47,0,0,5.590909091,0.8,30,0,70,0
Beverages,Chocolate Shake (Small),46.66666667,12.5,16,25,10,51,1,60,20,240,10,91,30,1,5,6.416666667,1,20,0,40,8
Beverages,Chocolate Shake (Medium),43.75,11.25,20,30,12,62,1,75,24,300,13,114,38,2,6,6.0625,0.9,25,0,50,10
